FID;id;x;y;z;descrip;lat;lng
0;340;1056161.769200000000000;870861.333300000060000;1346.810099999999900;T;3.428289210710000;-76.572195224300003
1;341;1056159.543000000100000;870862.240699999970000;1346.350100000000100;T;3.428297414280000;-76.572215255499998
2;342;1056160.570800000100000;870861.684200000020000;1346.178100000000100;T;3.428292382940000;-76.572206007299997
3;366;1056132.821300000000000;870854.661100000030000;1343.514100000000100;T;3.428228866880000;-76.572455686699996
4;367;1056133.090600000000000;870859.265999999950000;1343.668100000000100;T;3.428270504240000;-76.572453265799993
5;368;1056141.053600000000000;870861.206099999950000;1343.472100000000000;T;3.428288050420000;-76.572381617800005
6;369;1056137.718399999900000;870863.828400000000000;1343.721100000000000;T;3.428311759460000;-76.572411628300003
7;370;1056143.547899999900000;870856.096900000000000;1343.298100000000000;T;3.428241854560000;-76.572359172199995
8;371;1056138.439300000000000;870851.340399999990000;1343.288100000000000;T;3.428198844070000;-76.572405135699995
9;372;1056148.413600000100000;870853.266900000050000;1343.173100000000000;T;3.428216268260000;-76.572315390499995
10;373;1056145.488200000000000;870850.127699999950000;1343.167099999999900;T;3.428187882370000;-76.572341711000007
11;421;1056119.003199999900000;870843.058700000050000;1343.373100000000000;T;3.428123951870000;-76.572580012600000
12;422;1056122.060800000100000;870841.849999999980000;1343.294100000000100;T;3.428113024380000;-76.572552500599997
13;423;1056121.443999999900000;870838.712999999990000;1343.284100000000100;T;3.428084659510000;-76.572558048800005
14;424;1056125.530899999900000;870837.862300000040000;1343.293100000000100;T;3.428076969540000;-76.572521275599996
15;425;1056126.507800000000000;870842.203199999990000;1343.228100000000000;T;3.428116220180000;-76.572512487799997
16;453;1056108.100499999900000;870833.983400000030000;1343.503099999999900;T;3.428041888170000;-76.572678107800002
17;454;1056105.041999999900000;870833.973600000030000;1343.742099999999900;T;3.428041798050000;-76.572705627399998
18;455;1056107.318400000000000;870839.030499999990000;1343.741100000000000;T;3.428087523360000;-76.572685147399994
19;456;1056102.701200000000000;870841.540799999960000;1344.493099999999900;T;3.428110219060000;-76.572726693000007
20;457;1056110.573300000000000;870841.563300000040000;1343.661100000000000;T;3.428110426390000;-76.572655861900003
21;458;1056114.196800000000000;870843.351299999980000;1343.550099999999900;T;3.428126595170000;-76.572623259500006
22;471;1056180.716199999900000;870789.497600000000000;1343.575100000000000;T;3.427639685850000;-76.572024709399997
23;472;1056183.671200000000000;870790.383299999990000;1345.221100000000000;T;3.427647695740000;-76.571998121500002
24;473;1056178.667399999900000;870794.181800000020000;1344.138099999999900;T;3.427682039110000;-76.572043146200002
25;474;1056180.637399999900000;870794.821200000010000;1345.379100000000100;T;3.427687821490000;-76.572025421000006
26;475;1056175.371800000100000;870799.049800000040000;1344.342100000000100;T;3.427726053670000;-76.572072801499999
27;476;1056175.082600000100000;870804.113499999980000;1345.736100000000100;T;3.427771839200000;-76.572075406099998
28;477;1056170.290000000000000;870804.249399999970000;1343.341100000000100;T;3.427773065660000;-76.572118528700003
29;478;1056171.577700000000000;870811.353200000010000;1345.730100000000000;T;3.427837298420000;-76.572106945700000
